Ano;Receita;CresRec;Ebit;Margem_Ebit(%);IR;IR/EBIT;Imobilizado;CresImob;Deprec;Deprec/Imob;Capex;Capex/Imob;varcapgiro
2015;46720;0.226922975918485;19136;0.40958904109589;-3634;0.189903846153846;24232;0.243049143326152;-3075;0.126;-6596;0.272202046880158;1139
2016;45602;-0.023929794520548;17194;0.377044866453226;-315;0.0183203443061533;24398;0.00685044569164739;-3512;0.143;-5993;0.245634888105582;-1047
2017;47899;0.0503705977807991;16427;0.342950792292115;-5079;0.309186096061362;23496;-0.0369702434625789;-3162;0.134;-3537;0.150536261491318;373
2018;50231;0.0486857763210089;17151;0.341442535486054;-1773;0.103375896449187;27479;0.16951821586653;-4448;0.16;-3703;0.13475745114451;1983
2019;52005;0.0353168362166789;15461;0.297298336698394;-754;0.0487678675376754;28882;0.0510571709305288;-4675;0.16186552177827;-5167;0.178900353161138;991
