MÊS;ERP
jan/95;0.0359060710973353
fev/95;0.0464137151193578
mar/95;0.0681886918906011
abr/95;0.0900116011456439
mai/95;0.0994960736703058
jun/95;0.118637714663971
jul/95;0.118114657266068
ago/95;0.119254403788139
set/95;0.0804272295151126
out/95;0.0928884147281356
nov/95;0.101184962000417
dez/95;0.10732542683581
jan/96;0.0916212600995341
fev/96;0.0849055039700746
mar/96;0.100492760403891
abr/96;0.0965313848131589
mai/96;0.0950881886668827
jun/96;0.0907965835758043
jul/96;0.0926238765992038
ago/96;0.0910999012458609
set/96;0.0928548066092964
out/96;0.101273737414092
nov/96;0.101428044422823
dez/96;0.0997000002781042
jan/97;0.0970523326912151
fev/97;0.0910571428307975
mar/97;0.0861772487977358
abr/97;0.0850669480959538
mai/97;0.0972888371603406
jun/97;0.0969574681749195
jul/97;0.0982581924856878
ago/97;0.100711089912212
set/97;0.0941012926504513
out/97;0.102244385334601
nov/97;0.116735035994128
dez/97;0.12868892588778
jan/98;0.132467383780067
fev/98;0.121925409893074
mar/98;0.118581856291679
abr/98;0.110095398202743
mai/98;0.148156717621095
jun/98;0.164140723095457
jul/98;0.156844875479198
ago/98;0.207619864105711
set/98;0.264883724251574
out/98;0.273869088931692
nov/98;0.233684828008204
dez/98;0.197281574368069
jan/99;0.188497196209514
fev/99;0.178795478637249
mar/99;0.195212182463745
abr/99;0.176677372736993
mai/99;0.172408542932614
jun/99;0.15905547118167
jul/99;0.15865389804395
ago/99;0.1527541927269
set/99;0.131598654213706
out/99;0.121967285958455
nov/99;0.104375179434132
dez/99;0.0848952857670801
jan/00;0.0809642201650407
fev/00;0.0851438197473686
mar/00;0.0944327930597998
abr/00;0.106898408286258
mai/00;0.101940241622509
jun/00;0.11520688931942
jul/00;0.108478626294014
ago/00;0.116693178069085
set/00;0.124618795023153
out/00;0.123503516084536
nov/00;0.136242802600748
dez/00;0.104494513747492
jan/01;0.0980787398002151
fev/01;0.0949866121025849
mar/01;0.109431992618452
abr/01;0.102308214411978
mai/01;0.114485109255966
jun/01;0.122051934193266
jul/01;0.124720873162179
ago/01;0.131649623301516
set/01;0.169202744559157
out/01;0.164873840105805
nov/01;0.144853658823403
dez/01;0.120571475001145
jan/02;0.120286440570537
fev/02;0.115856351898521
mar/02;0.12274527752297
abr/02;0.121015681477825
mai/02;0.138349117397322
jun/02;0.138984446614469
jul/02;0.151546764520801
ago/02;0.149145019176682
set/02;0.177291585776881
out/02;0.16158417270188
nov/02;0.157655162857096
dez/02;0.161555163906096
jan/03;0.167218189842105
fev/03;0.168737406039297
mar/03;0.179606577890525
abr/03;0.173701031585765
mai/03;0.177459628177979
jun/03;0.173534238210422
jul/03;0.164432323714641
ago/03;0.160836069985849
set/03;0.197624475660231
out/03;0.187062534953252
nov/03;0.185799128667911
dez/03;0.152289637286455
jan/04;0.14979423018271
fev/04;0.1553110380673
mar/04;0.151899532799445
abr/04;0.142381553087955
mai/04;0.139936885632459
jun/04;0.132051568595187
jul/04;0.132135648364493
ago/04;0.132354163982276
set/04;0.141988410037146
out/04;0.14054340020098
nov/04;0.132083378560499
dez/04;0.137223932269516
jan/05;0.139980314708805
fev/05;0.143813304374585
mar/05;0.138838861287085
abr/05;0.142230965976305
mai/05;0.151308566518831
jun/05;0.176136458670848
jul/05;0.175267950313688
ago/05;0.173568970744576
set/05;0.134965711446185
out/05;0.133933396785065
nov/05;0.13831045015123
dez/05;0.126032995703266
jan/06;0.122510132611856
fev/06;0.116891559886685
mar/06;0.111827934113226
abr/06;0.106296681721644
mai/06;0.106858975851667
jun/06;0.10321059015114
jul/06;0.104273760524982
ago/06;0.0991918233341133
set/06;0.0979779521797413
out/06;0.0958646365066788
nov/06;0.0885069475391465
dez/06;0.0829915576931642
jan/07;0.0772151183492071
fev/07;0.0793970372412362
mar/07;0.0955852556829606
abr/07;0.0858060647448514
mai/07;0.0812073264436995
jun/07;0.0829614826725904
jul/07;0.0853226505990132
ago/07;0.0853401332443839
set/07;0.0889288840931071
out/07;0.087744511396229
nov/07;0.0937378309550988
dez/07;0.0867123990712762
jan/08;0.0941715225972748
fev/08;0.0938716749166606
mar/08;0.0956827971109827
abr/08;0.0892217262002088
mai/08;0.0852768708843922
jun/08;0.0907607996312185
jul/08;0.0900940414329569
ago/08;0.0929783342586901
set/08;0.104919074413251
out/08;0.11502278736409
nov/08;0.12713618920136
dez/08;0.142196043545971
jan/09;0.13409152093552
fev/09;0.13231733440141
mar/09;0.121847807926935
abr/09;0.108840189045627
mai/09;0.102075387329699
jun/09;0.0904311572478277
jul/09;0.088254360455357
ago/09;0.0850624671322882
set/09;0.0819449598079216
out/09;0.083103148537464
nov/09;0.0849393079010601
dez/09;0.0919988352225455
jan/10;0.094406445060835
fev/10;0.0967733301001755
mar/10;0.10525014956325
abr/10;0.100794510284254
mai/10;0.097475443102761
jun/10;0.105756568308117
jul/10;0.105329474109499
ago/10;0.105505817813413
set/10;0.10964076002117
out/10;0.105134128666786
nov/10;0.104735806867849
dez/10;0.0943465892760287
jan/11;0.0954072380187121
fev/11;0.0933908067276885
mar/11;0.0934411417204052
abr/11;0.0936437916432064
mai/11;0.100328362809747
jun/11;0.0993888362795573
jul/11;0.105386071033023
ago/11;0.112121000687971
set/11;0.110785960833959
out/11;0.103606125957221
nov/11;0.104884498580194
dez/11;0.100094556420231
jan/12;0.0969974835272027
fev/12;0.0908876046424502
mar/12;0.0878002989128435
abr/12;0.0958102145507514
mai/12;0.10515093938009
jun/12;0.0908173288508057
jul/12;0.0919819303546811
ago/12;0.0905275916215747
set/12;0.0932102912947301
out/12;0.0924479984652401
nov/12;0.0956060344253743
dez/12;0.0910472749067397
jan/13;0.0874498441924829
fev/13;0.0898845745912963
mar/13;0.0834400311753677
abr/13;0.084749349865796
mai/13;0.0805226171755968
jun/13;0.0750148883736058
jul/13;0.0777696538013736
ago/13;0.0761091508471176
set/13;0.074874558269219
out/13;0.0737694260495196
nov/13;0.0790465217274276
dez/13;0.0757004186649259
jan/14;0.0848452635793112
fev/14;0.0840969406217387
mar/14;0.0950857233144602
abr/14;0.0966178365627155
mai/14;0.0987011604851281
jun/14;0.0940127808579486
jul/14;0.0950993688921129
ago/14;0.0954121226483906
set/14;0.0829267794229918
out/14;0.0874563785407003
nov/14;0.0902652362457874
dez/14;0.0906005366973581
jan/15;0.105330167323614
fev/15;0.103793328985005
mar/15;0.106466186220589
abr/15;0.102771976926955
mai/15;0.106359812366214
jun/15;0.10243622729859
jul/15;0.108247458129121
ago/15;0.113094061331433
set/15;0.0995325656260627
out/15;0.0973446090707526
nov/15;0.096030564044979
dez/15;0.097946408382498
jan/16;0.107207252436546
fev/16;0.106239135331823
mar/16;0.0966133295253734
abr/16;0.0907458717712184
mai/16;0.0815033024134374
jun/16;0.0849033024134374
jul/16;0.0784543207917631
ago/16;0.0770051073174315
set/16;0.0790624901413651
out/16;0.090803823058583
nov/16;0.0813663221425546
dez/16;0.0855244401821122
jan/17;0.0833745270202775
fev/17;0.0826187374553476
mar/17;0.082301802120568
abr/17;0.0794807612023437
mai/17;0.0839607528941542
jun/17;0.082181900156118
jul/17;0.0785823836457182
ago/17;0.0735148301213111
set/17;0.0717985840838362
out/17;0.0708936018102976
nov/17;0.0610527570334222
dez/17;0.0671227868311066
jan/18;0.057519098552338
fev/18;0.0655204720260662
mar/18;0.07212577036462
abr/18;0.0640642442916556
mai/18;0.071824635819149
jun/18;0.0797751797735774
jul/18;0.0919398615157539
ago/18;0.101019895405992
set/18;0.104963763933636
out/18;0.0686653480536761
nov/18;0.0775995912447692
dez/18;0.0762965189047529
jan/19;0.0711502118640055
fev/19;0.0749787034340713
mar/19;0.0810822225806648
abr/19;0.0808647911725124
mai/19;0.0877643040381095
jun/19;0.0858391787877883
jul/19;0.0895447179167654
ago/19;0.0968727274427415
set/19;0.0945656703949921
out/19;0.0959988713322975
nov/19;0.0904101803857525
dez/19;0.0803464300392858
jan/20;0.0881388051281549
fev/20;0.0939842586261884
mar/20;0.114444556029951
abr/20;0.118834850013153
mai/20;0.108020065185768
jun/20;0.1015
jul/20;0.103940711907962
ago/20;0.098747906968659
set/20;0.102803773446709
out/20;0.100308155537878
nov/20;0.0947810906361322
dez/20;0.0996881147872699
